Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
Location 42 - Location 3,42,3,1,,,13.847216824481466,,,,7.162234040973678,,0.067493945736630
Location 43 - Location 4,43,4,1,,,8.852310284402733,,,,4.011178719578365,,0.037497011907306
Location 44 - Location 4,44,4,1,,,9.713961324786663,,,,4.579670088849676,,0.033599203137364
Location 45 - Location 1,45,1,1,,,10.946935013522802,,,,3.857804543371586,,0.026055749268923
Location 46 - Location 4,46,4,1,,,12.739438035724326,,,,6.918198864426035,,0.054537145659511
Location 47 - Location 4,47,4,1,,,13.172808669965784,,,,10.666902901405534,,0.094925898079905
Location 50 - Location 3,50,3,1,,,8.659710705725512,,,,4.538551008078758,,0.049039915008098
Location 50 - Location 4,50,4,2,,,13.762375740498806,,,,6.971817339089211,,0.063151603816608
Location 51 - Location 2,51,2,1,,,2.848446488474426,,,,1.287685116626840,,0.007628289477215
Location 52 - Location 4,52,4,1,,,8.283830210366416,,,,3.838295755690953,,0.026720472427002
Location 53 - Location 4,53,4,1,,,10.027509739219798,,,,4.039787304971465,,0.035850759390204
Location 54 - Location 4,54,4,1,,,9.942855413512733,,,,4.640822835672981,,0.043245435376457
Location 55 - Location 2,55,2,1,,,6.045732630237792,,,,3.366069860081897,,0.035064900626016
Location 56 - Location 3,56,3,1,,,13.753334201356717,,,,7.832668839060755,,0.054434813509094
Location 59 - Location 4,59,4,1,,,13.130813898260030,,,,6.147165366217122,,0.042434519295267
Location 60 - Location 1,60,1,1,,,3.272387952383996,,,,0.782254468596676,,0.006679439277546
Location 61 - Location 2,61,2,1,,,13.811633977448739,,,,15.674940365692795,,0.159360674477627
Location 62 - Location 2,62,2,1,,,7.440512847668916,,,,6.131591796827293,,0.055246389655169
Location 64 - Location 2,64,2,1,,,2.585371482411014,,,,2.359551887120111,,0.025999982408860
Location 65 - Location 1,65,1,1,,,10.801991706273492,,,,5.194837775860779,,0.032389126207169
Location 67 - Location 2,67,2,1,,,7.712905337163114,,,,4.241492178068863,,0.030395849854890
Location 68 - Location 2,68,2,1,,,13.203879590151217,,,,18.546444011267194,,0.201097755628612
Location 69 - Location 2,69,2,1,,,12.587662934706396,,,,13.298735389998667,,0.096382205577878
Location 70 - Location 4,70,4,1,,,11.471483679314350,,,,6.145422600588421,,0.037977005055675
Location 71 - Location 8,71,8,1,,,14.429977431028789,,,,9.620324956950240,,0.097997972264776
Location 76 - Location 2,76,2,1,,,9.536123823146420,,,,7.998866028812285,,0.074116476113248
Location 78 - Location 3,78,3,1,,,4.061612128641481,,,,1.579991181596497,,0.008732612292614
Location 81 - Location 8,81,8,1,,,14.320345205218139,,,,9.684488805795301,,0.091551401017299
Location 82 - Location 3,82,3,1,,,12.265959334239522,,,,8.472281609949412,,0.059076901128332
Location 83 - Location 2,83,2,1,,,13.357368974353898,,,,6.982105559763146,,0.056937037979665
Location 84 - Location 1,84,1,1,,,12.946990221580286,,,,4.961859847192780,,0.037605310853711
Location 85 - Location 4,85,4,1,,,10.394352620582282,,,,4.255096718175994,,0.034167690444813
Location 86 - Location 4,86,4,1,,,12.783044235420649,,,,6.416567883573271,,0.047469229045854
Location 86 - Location 3,86,3,2,,,13.749764053535884,,,,8.720011792264678,,0.071805391863010
Location 93 - Location 2,93,2,1,,,10.933369001976066,,,,9.358941113345486,,0.075626740829465
Location 95 - Location 4,95,4,1,,,13.482157785958565,,,,13.853204501623091,,0.132945154078833
Location 97 - Location 3,97,3,1,,,13.083710138199624,,,,6.766016277963055,,0.055467712254169
Location 97 - Location 4,97,4,2,,,14.676148154818623,,,,8.449823651009929,,0.064358487929013
Location 98 - Location 4,98,4,1,,,11.659636648721804,,,,5.644607918829935,,0.048528125468134
Location 100 - Location 3,100,3,1,,,13.548816390078906,,,,12.271891869860804,,0.045735992996788
Location 100 - Location 4,100,4,2,,,14.160081191104293,,,,15.238513268786585,,0.107361964426919
Location 101 - Location 2,101,2,1,,,14.155624625014761,,,,10.475505971296787,,0.061760040621274
Location 102 - Location 1,102,1,1,,,14.731301750374175,,,,8.782490195681149,,0.069225242359767
Location 104 - Location 2,104,2,1,,,13.663370004681457,,,,14.646680038147007,,0.132751898199389
Location 106 - Location 4,106,4,1,,,13.365707642179885,,,,5.982401360266784,,0.049369936244119
Location 106 - Location 3,106,3,2,,,14.999846130949416,,,,7.884424675696471,,0.063666705361190
Location 107 - Location 1,107,1,1,,,12.570782926646253,,,,5.871108599838098,,0.030616218710409
Location 110 - Location 3,110,3,1,,,13.079196370365874,,,,5.928593070965234,,0.049799887531977
Location 111 - Location 4,111,4,1,,,10.297776320596736,,,,4.738670058448479,,0.037092340650938
Location 111 - Location 3,111,3,2,,,14.633799588000153,,,,8.113045029442146,,0.077792514358194
Location 114 - Location 3,114,3,1,,,8.316830447404342,,,,4.231322727285511,,0.037154213095193
Location 115 - Location 1,115,1,1,,,7.729764595819033,,,,3.054934915973375,,0.024981047649457
Location 117 - Location 4,117,4,1,,,14.020478216010725,,,,15.945595564629533,,0.121456755191699
Location 119 - Location 4,119,4,1,,,8.756756349374889,,,,3.794840200074852,,0.022854131083174
Location 121 - Location 3,121,3,1,,,8.405309654402448,,,,4.650179468701674,,0.027488671902892
