DAUID,Median_income_2020,Population_2021,Total_households
35060823,120000,388,150
35060833,130000,496,205
35060834,144000,603,255
35060835,182000,454,155
35060836,86000,474,250
35060837,200000,578,180
35060838,180000,1595,545
35060840,136000,685,235
35060841,143000,560,225
35060842,138000,366,145
35060843,132000,1307,455
35060844,155000,517,180
35060845,140000,765,300
35060860,105000,661,240
35060861,101000,511,185
35060862,80000,752,290
35060864,111000,638,225
35060865,108000,868,310
35060866,83000,1087,400
35060867,91000,516,200
35060868,102000,445,170
35060869,107000,338,140
35060870,116000,380,150
35060871,82000,519,135
35060872,71000,1183,585
35060874,157000,283,110
35060875,89000,692,280
35060876,71000,901,395
35060877,122000,825,260
35060885,87000,818,325
35060888,104000,434,160
35060889,88000,318,110
35060890,108000,2526,860
35060891,75500,575,265
35060892,67000,444,150
35060893,66000,1045,350
35060894,58400,1141,460
35060895,35600,934,380
35060898,61600,771,305
35060899,57600,2485,900
35060902,68000,703,265
35060903,168000,399,135
35060904,109000,434,165
35060905,82000,588,270
35060906,131000,398,150
35060907,132000,407,150
35060908,166000,375,140
35060909,180000,356,130
35060910,122000,685,280
35060911,70500,1422,755
35060912,129000,434,165
35060913,130000,421,170
35060914,142000,445,175
35060915,134000,487,200
35060916,106000,434,190
35060917,113000,402,180
35060918,52800,690,365
35060921,102000,376,125
35060922,72500,1854,910
35060923,96000,320,120
35060924,83000,313,115
35060925,71000,748,180
35060926,96000,473,195
35060929,120000,414,140
35060930,103000,443,180
35060931,123000,421,165
35060934,65500,1733,835
35060935,113000,499,200
35060936,113000,546,230
35060937,116000,507,230
35060938,114000,1850,615
35060939,135000,891,285
35060940,132000,277,95
35060941,129000,641,200
35060942,79000,864,315
35060944,132000,660,230
35060945,93000,453,155
35060953,90000,695,225
35060954,93000,369,110
35060955,120000,1396,430
35060956,114000,599,200
35060957,43200,1328,575
35060961,82000,1275,410
35060968,111000,668,235
35060970,52800,1548,840
35060972,61200,3459,1810
35060973,112000,967,550
35060974,100000,487,245
35060975,84000,1535,735
35060976,49600,522,220
35060977,91000,571,240
